epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1606,1.61944,3.32846,1.2657,0.36186,0.09029,0.06355,0.04282,1.43917,2.45229,1.11672,4.444e-05,4.444e-05,4.444e-05
2,28.3993,1.36742,2.85587,1.08093,0.60695,0.28578,0.14148,0.09231,1.36529,3.21977,1.07022,9.90001e-05,9.90001e-05,9.90001e-05
3,40.033,1.32335,2.21211,1.06686,0.37547,0.47482,0.16472,0.10497,1.33775,4.88951,1.0141,0.00015246,0.00015246,0.00015246
4,52.0601,1.65033,2.15485,1.2245,0.13168,0.59137,0.19261,0.10154,1.61016,5.68737,1.05669,0.000204821,0.000204821,0.000204821
5,63.9661,1.24173,1.42131,1.04322,0.1419,0.65019,0.22993,0.10811,1.86255,5.15726,1.12262,0.000256081,0.000256081,0.000256081
6,77.3239,1.57031,1.69824,1.15668,0.17536,0.629,0.18185,0.08113,2.04022,2.90965,1.21138,0.000306242,0.000306242,0.000306242
7,88.6515,1.35129,1.31056,1.0089,0.13689,0.42713,0.15164,0.07165,2.01643,2.77703,1.19851,0.000355302,0.000355302,0.000355302
8,99.2889,1.43134,1.42309,1.12011,0.13689,0.42713,0.15164,0.07165,2.01643,2.77703,1.19851,0.000403263,0.000403263,0.000403263
9,109.974,1.52506,1.34473,1.13747,0.47869,0.13124,0.1409,0.06994,2.00033,3.59438,1.1847,0.000450124,0.000450124,0.000450124
10,120.77,1.39149,1.43082,1.10755,0.24462,0.23139,0.1699,0.08058,2.16208,3.08788,1.24802,0.000495885,0.000495885,0.000495885
11,131.43,1.36494,1.11459,1.04783,0.24462,0.23139,0.1699,0.08058,2.16208,3.08788,1.24802,0.000540546,0.000540546,0.000540546
12,141.938,1.26869,1.32713,1.06706,0.32253,0.41493,0.16778,0.05317,2.64143,3.31592,1.45693,0.000584107,0.000584107,0.000584107
13,152.521,1.2936,1.06826,1.07582,0.32253,0.41493,0.16778,0.05317,2.64143,3.31592,1.45693,0.000626568,0.000626568,0.000626568
14,162.78,1.43454,1.12524,1.05902,0.32253,0.41493,0.16778,0.05317,2.64143,3.31592,1.45693,0.00066793,0.00066793,0.00066793
15,172.953,1.32067,1.14971,1.10076,0.19838,0.38301,0.1216,0.04558,2.44265,3.29144,1.35279,0.000708191,0.000708191,0.000708191
16,182.9,1.37262,1.09577,1.0919,0.19838,0.38301,0.1216,0.04558,2.44265,3.29144,1.35279,0.000747353,0.000747353,0.000747353
17,193.001,1.26882,1.02086,1.00855,0.19838,0.38301,0.1216,0.04558,2.44265,3.29144,1.35279,0.000785415,0.000785415,0.000785415
18,202.948,1.28018,1.15359,1.11085,0.31015,0.17994,0.2,0.11264,1.83643,2.07624,1.18808,0.000822377,0.000822377,0.000822377
19,213.202,1.45859,1.18977,1.11883,0.31015,0.17994,0.2,0.11264,1.83643,2.07624,1.18808,0.000858239,0.000858239,0.000858239
20,223.597,1.41249,1.32406,1.08927,0.31015,0.17994,0.2,0.11264,1.83643,2.07624,1.18808,0.000893001,0.000893001,0.000893001
21,233.737,1.07167,0.97868,1.04493,0.36998,0.318,0.23919,0.14309,1.74877,1.88306,1.15025,0.000891022,0.000891022,0.000891022
22,243.876,1.25512,0.9096,1.01512,0.36998,0.318,0.23919,0.14309,1.74877,1.88306,1.15025,0.000880023,0.000880023,0.000880023
23,253.915,1.4034,1.06818,1.11398,0.36998,0.318,0.23919,0.14309,1.74877,1.88306,1.15025,0.000869024,0.000869024,0.000869024
24,265.657,1.28671,1.11422,1.1388,0.21403,0.53142,0.17639,0.0895,2.0808,3.01419,1.33397,0.000858025,0.000858025,0.000858025
25,282.3,1.38948,1.00919,1.09075,0.21403,0.53142,0.17639,0.0895,2.0808,3.01419,1.33397,0.000847026,0.000847026,0.000847026
26,539.98,1.26881,1.00378,1.02131,0.21403,0.53142,0.17639,0.0895,2.0808,3.01419,1.33397,0.000836027,0.000836027,0.000836027
27,550.814,1.31388,1.18969,1.1265,0.27943,0.49786,0.17819,0.07534,2.27161,2.96769,1.42326,0.000825029,0.000825029,0.000825029
28,560.458,1.13928,0.90958,1.03596,0.27943,0.49786,0.17819,0.07534,2.27161,2.96769,1.42326,0.00081403,0.00081403,0.00081403
29,570.986,1.2704,0.91983,1.06816,0.27943,0.49786,0.17819,0.07534,2.27161,2.96769,1.42326,0.000803031,0.000803031,0.000803031
30,580.869,1.53899,1.08103,1.09028,0.23737,0.51429,0.15575,0.08021,1.99197,2.2936,1.31013,0.000792032,0.000792032,0.000792032
31,593.861,1.09087,0.89651,0.98714,0.23737,0.51429,0.15575,0.08021,1.99197,2.2936,1.31013,0.000781033,0.000781033,0.000781033
32,604.55,1.13014,0.95381,1.06653,0.23737,0.51429,0.15575,0.08021,1.99197,2.2936,1.31013,0.000770034,0.000770034,0.000770034
33,615.75,1.18068,0.81072,1.04286,0.23737,0.51429,0.15575,0.08021,1.99197,2.2936,1.31013,0.000759035,0.000759035,0.000759035
34,626.44,1.16132,0.96162,1.0374,0.2214,0.4971,0.14122,0.08293,1.85681,2.24313,1.21437,0.000748036,0.000748036,0.000748036
35,637.547,1.29823,1.16814,1.1288,0.2214,0.4971,0.14122,0.08293,1.85681,2.24313,1.21437,0.000737037,0.000737037,0.000737037
36,648.015,1.27544,0.88794,1.06776,0.2214,0.4971,0.14122,0.08293,1.85681,2.24313,1.21437,0.000726038,0.000726038,0.000726038
37,658.277,1.03541,0.83087,0.95752,0.25059,0.48678,0.14388,0.07711,2.01796,2.37889,1.21973,0.00071504,0.00071504,0.00071504
38,668.655,1.34055,1.03147,1.05523,0.25059,0.48678,0.14388,0.07711,2.01796,2.37889,1.21973,0.000704041,0.000704041,0.000704041
39,678.6,1.24327,0.79285,1.00998,0.25059,0.48678,0.14388,0.07711,2.01796,2.37889,1.21973,0.000693042,0.000693042,0.000693042
40,690.78,1.34545,1.19412,1.14427,0.30098,0.14418,0.18138,0.08713,2.08994,2.46809,1.23244,0.000682043,0.000682043,0.000682043
41,710.108,1.37379,1.1288,1.11831,0.30098,0.14418,0.18138,0.08713,2.08994,2.46809,1.23244,0.000671044,0.000671044,0.000671044
42,721.964,1.14559,0.90932,1.04772,0.30098,0.14418,0.18138,0.08713,2.08994,2.46809,1.23244,0.000660045,0.000660045,0.000660045
43,732.297,1.11042,0.88518,1.01408,0.36905,0.14681,0.20172,0.08742,2.10699,2.3638,1.24206,0.000649046,0.000649046,0.000649046
44,741.982,1.23748,0.94961,1.09365,0.36905,0.14681,0.20172,0.08742,2.10699,2.3638,1.24206,0.000638047,0.000638047,0.000638047
45,751.693,1.26197,0.81706,0.99288,0.36905,0.14681,0.20172,0.08742,2.10699,2.3638,1.24206,0.000627048,0.000627048,0.000627048
46,761.425,1.24839,1.0504,1.07072,0.26473,0.25432,0.22382,0.09634,2.07135,2.03073,1.23277,0.000616049,0.000616049,0.000616049
47,771.325,1.31259,1.05251,1.14286,0.26473,0.25432,0.22382,0.09634,2.07135,2.03073,1.23277,0.000605051,0.000605051,0.000605051
48,781.038,1.10909,0.78164,0.98096,0.26473,0.25432,0.22382,0.09634,2.07135,2.03073,1.23277,0.000594052,0.000594052,0.000594052
49,790.75,1.22587,0.79856,1.00316,0.26473,0.25432,0.22382,0.09634,2.07135,2.03073,1.23277,0.000583053,0.000583053,0.000583053
50,800.752,1.19944,0.8833,1.05413,0.30701,0.32734,0.23975,0.12424,1.83684,1.64103,1.16598,0.000572054,0.000572054,0.000572054
51,810.274,1.21057,0.89655,1.08722,0.30701,0.32734,0.23975,0.12424,1.83684,1.64103,1.16598,0.000561055,0.000561055,0.000561055
52,819.958,1.03187,0.72174,0.96066,0.30701,0.32734,0.23975,0.12424,1.83684,1.64103,1.16598,0.000550056,0.000550056,0.000550056
53,829.548,1.16489,0.86425,1.02712,0.34497,0.31575,0.21782,0.11537,1.85654,1.63051,1.1948,0.000539057,0.000539057,0.000539057
54,839.178,1.23269,0.79516,1.00648,0.34497,0.31575,0.21782,0.11537,1.85654,1.63051,1.1948,0.000528058,0.000528058,0.000528058
55,848.599,1.19269,0.90134,1.03702,0.34497,0.31575,0.21782,0.11537,1.85654,1.63051,1.1948,0.000517059,0.000517059,0.000517059
56,858.085,1.0871,0.78205,1.02468,0.26146,0.38729,0.19852,0.10483,1.84311,1.82929,1.15676,0.00050606,0.00050606,0.00050606
57,867.985,1.23268,0.81455,1.00326,0.26146,0.38729,0.19852,0.10483,1.84311,1.82929,1.15676,0.000495062,0.000495062,0.000495062
58,877.612,1.12505,0.83345,1.03519,0.26146,0.38729,0.19852,0.10483,1.84311,1.82929,1.15676,0.000484063,0.000484063,0.000484063
59,887.302,1.32813,1.1981,1.19996,0.27821,0.31856,0.21021,0.10341,1.95974,1.98891,1.19775,0.000473064,0.000473064,0.000473064
60,897.185,1.10662,0.71091,0.96809,0.27821,0.31856,0.21021,0.10341,1.95974,1.98891,1.19775,0.000462065,0.000462065,0.000462065
61,911.032,1.14986,0.89138,1.04098,0.27821,0.31856,0.21021,0.10341,1.95974,1.98891,1.19775,0.000451066,0.000451066,0.000451066
62,925.425,1.16672,0.77821,1.01274,0.28479,0.31856,0.21704,0.10635,1.9448,2.01851,1.18147,0.000440067,0.000440067,0.000440067
63,935.429,1.16996,0.74851,0.94216,0.28479,0.31856,0.21704,0.10635,1.9448,2.01851,1.18147,0.000429068,0.000429068,0.000429068
64,945.698,1.15799,0.76054,1.0007,0.28479,0.31856,0.21704,0.10635,1.9448,2.01851,1.18147,0.000418069,0.000418069,0.000418069
65,955.293,1.11074,0.79065,1.03126,0.28479,0.31856,0.21704,0.10635,1.9448,2.01851,1.18147,0.00040707,0.00040707,0.00040707
66,965.004,1.07448,0.84588,1.03461,0.28207,0.35254,0.23476,0.1254,1.81051,1.90215,1.14556,0.000396071,0.000396071,0.000396071
67,974.628,1.16488,0.79511,0.97207,0.28207,0.35254,0.23476,0.1254,1.81051,1.90215,1.14556,0.000385073,0.000385073,0.000385073
68,984.124,1.16448,0.74309,1.00356,0.28207,0.35254,0.23476,0.1254,1.81051,1.90215,1.14556,0.000374074,0.000374074,0.000374074
69,993.895,1.08568,0.69218,0.95309,0.32907,0.34201,0.24906,0.13879,1.69202,1.74611,1.11521,0.000363075,0.000363075,0.000363075
70,1003.33,1.24643,0.91034,1.14152,0.32907,0.34201,0.24906,0.13879,1.69202,1.74611,1.11521,0.000352076,0.000352076,0.000352076
71,1013.09,1.25498,0.79523,1.13006,0.32907,0.34201,0.24906,0.13879,1.69202,1.74611,1.11521,0.000341077,0.000341077,0.000341077
